Statistical profiling result from clg_off-v8.log, (25285 ticks, 31 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Function: ^get node:internal/console/constructor:208:14
      2    0.0%    0.0%  Function: ^fromString node:buffer:437:20
      2    0.0%    0.0%  Function: ^fresh /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/parseurl/index.js:153:16
      2    0.0%    0.0%  Function: ^extname node:path:1385:10
      2    0.0%    0.0%  Function: ^endReadableNT node:internal/streams/readable:1351:23
      2    0.0%    0.0%  Function: ^end node:_http_outgoing:912:45
      2    0.0%    0.0%  Function: ^end /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:250:27
      2    0.0%    0.0%  Function: ^destroy node:internal/streams/destroy:32:17
      2    0.0%    0.0%  Function: ^createPool node:buffer:155:20
      2    0.0%    0.0%  Function: ^arrayClone node:events:865:20
      2    0.0%    0.0%  Function: ^afterWriteTick node:internal/streams/writable:484:24
      2    0.0%    0.0%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      2    0.0%    0.0%  Function: ^_write /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/winston-transport/index.js:69:51
      2    0.0%    0.0%  Function: ^_finish node:_http_server:216:52
      2    0.0%    0.0%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:865:35
      2    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:74:3
      2    0.0%    0.0%  Function: ^<anonymous> file:///mnt/c/Users/Marco%20Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/src/server.js:38:9
      2    0.0%    0.0%  Function: ^<anonymous> :1:20
      2    0.0%    0.0%  Function: ^<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/socket.io/dist/index.js:290:27
      2    0.0%    0.0%  Function: ^<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/helpers/if.js:15:42
      1    0.0%    0.0%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.0%  RegExp: ^\/login\/?$
      1    0.0%    0.0%  RegExp: ^\/info\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^\/api\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^(?:false(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^((?:@[^/\\%]+\/)?[^./\\%][^/\\%]*)(\/.*)?$
      1    0.0%    0.0%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.0%  LazyCompile: *toString node:buffer:790:46
      1    0.0%    0.0%  LazyCompile: *set /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/application.js:359:23
      1    0.0%    0.0%  LazyCompile: *router /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/index.js:46:18
      1    0.0%    0.0%  LazyCompile: *replacer /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/logform/json.js:11:18
      1    0.0%    0.0%  LazyCompile: *remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  LazyCompile: *readableAddChunk /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:249:26
      1    0.0%    0.0%  LazyCompile: *readPackage node:internal/modules/cjs/loader:301:21
      1    0.0%    0.0%  LazyCompile: *parseAcceptEncoding /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/lib/encoding.js:31:29
      1    0.0%    0.0%  LazyCompile: *parse /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/vary/index.js:96:16
      1    0.0%    0.0%  LazyCompile: *onwrite /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_writable.js:444:17
      1    0.0%    0.0%  LazyCompile: *onParserExecute node:_http_server:662:25
      1    0.0%    0.0%  LazyCompile: *onFinish node:_http_outgoing:907:18
      1    0.0%    0.0%  LazyCompile: *noop node:internal/util/debuglog:47:14
